GMT.Time,Stage (ft),Discharge
6/15/2021 13:38,2.35,12.8
6/15/2021 14:00,2.34,12.6
6/15/2021 15:00,2.34,12.6
6/15/2021 16:00,2.33,12.5
6/15/2021 17:00,2.32,12.3
6/15/2021 18:00,2.32,12.3
6/15/2021 19:00,2.32,12.3
6/15/2021 20:00,2.32,12.3
6/15/2021 21:00,2.31,12.2
6/15/2021 22:00,2.3,12
6/15/2021 23:00,2.31,12.2
6/16/2021 0:00,2.32,12.3
6/16/2021 1:00,2.32,12.3
6/16/2021 2:00,2.32,12.3
6/16/2021 3:00,2.32,12.3
6/16/2021 4:00,2.32,12.3
6/16/2021 5:00,2.31,12.2
6/16/2021 6:00,2.33,12.5
6/16/2021 7:00,2.32,12.3
6/16/2021 8:00,2.33,12.5
6/16/2021 9:00,2.33,12.5
6/16/2021 10:00,2.33,12.5
6/16/2021 11:00,2.33,12.5
6/16/2021 12:00,2.33,12.5
6/16/2021 13:00,2.32,12.3
6/16/2021 14:00,2.32,12.3
6/16/2021 15:00,2.3,12
6/16/2021 16:00,2.29,11.9
6/16/2021 17:00,2.29,11.9
6/16/2021 18:00,2.29,11.9
6/16/2021 19:00,2.29,11.9
6/16/2021 20:00,2.27,11.6
6/16/2021 21:00,2.28,11.7
6/16/2021 22:00,2.27,11.6
6/16/2021 23:00,2.28,11.7
6/17/2021 0:00,2.3,12
6/17/2021 1:00,2.29,11.9
6/17/2021 2:00,2.28,11.7
6/17/2021 3:00,2.29,11.9
6/17/2021 4:00,2.29,11.9
6/17/2021 5:00,2.28,11.7
6/17/2021 6:00,2.29,11.9
6/17/2021 7:00,2.3,12
6/17/2021 8:00,2.29,11.9
6/17/2021 9:00,2.3,12
6/17/2021 10:00,2.3,12
6/17/2021 11:00,2.3,12
6/17/2021 12:00,2.29,11.9
6/17/2021 13:00,2.28,11.7
6/17/2021 14:00,2.27,11.6
6/17/2021 15:00,2.27,11.6
6/17/2021 16:00,2.27,11.6
6/17/2021 17:00,2.26,11.4
6/17/2021 18:00,2.26,11.4
6/17/2021 19:00,2.27,11.6
6/17/2021 20:00,2.26,11.4
6/17/2021 21:00,2.26,11.4
6/17/2021 22:00,2.25,11.3
6/17/2021 23:00,2.26,11.4
6/18/2021 0:00,2.25,11.3
6/18/2021 1:00,2.27,11.6
6/18/2021 2:00,2.26,11.4
6/18/2021 3:00,2.27,11.6
6/18/2021 4:00,2.27,11.6
6/18/2021 5:00,2.27,11.6
6/18/2021 6:00,2.27,11.6
6/18/2021 7:00,2.27,11.6
6/18/2021 8:00,2.28,11.7
6/18/2021 9:00,2.27,11.6
6/18/2021 10:00,2.28,11.7
6/18/2021 11:00,2.28,11.7
6/18/2021 12:00,2.27,11.6
6/18/2021 13:00,2.27,11.6
6/18/2021 14:00,2.27,11.6
6/18/2021 15:00,2.27,11.6
6/18/2021 16:00,2.27,11.6
6/18/2021 17:00,2.26,11.4
6/18/2021 18:00,2.26,11.4
6/18/2021 19:00,2.25,11.3
6/18/2021 20:00,2.26,11.4
6/18/2021 21:00,2.26,11.4
6/18/2021 22:00,2.24,11.1
6/18/2021 23:00,2.25,11.3
6/19/2021 0:00,2.27,11.6
6/19/2021 1:00,2.24,11.1
6/19/2021 2:00,2.26,11.4
6/19/2021 3:00,2.25,11.3
6/19/2021 4:00,2.26,11.4
6/19/2021 5:00,2.26,11.4
6/19/2021 6:00,2.27,11.6
6/19/2021 7:00,2.26,11.4
6/19/2021 8:00,2.27,11.6
6/19/2021 9:00,2.27,11.6
6/19/2021 10:00,2.26,11.4
6/19/2021 11:00,2.27,11.6
6/19/2021 12:00,2.26,11.4
6/19/2021 13:00,2.25,11.3
6/19/2021 14:00,2.25,11.3
6/19/2021 16:00,2.24,11.1
6/19/2021 17:00,2.26,11.4
6/19/2021 18:00,2.27,11.6
