@T,soils,,,,,,,,,,,
name,soils.csv,,,,,,,,,,,
descr,hru input parameters,,,,,,,,,,,
,,,,,,,,,,,,
@H,SID,depth,aircapacity,fieldcapacity,deadcapacity,kf,bulk_density,corg,root,kvalue,A_skel,p_content
min,1,0,0,0,0,0,0,0,0,0,0,0
max,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,1,1,100,500
unit,n/a,cm,vol,vol,vol,cm/d,g/cm,%,n/a,n/a,%,mg/100g_soil
,1001,10,0.24,0.11,0.05,243.82,1.52,1,1,0.20,0,-9999
,1002,15,0.24,0.1,0.05,243.82,1.52,0.5,1,0.28,0,-9999
,1101,20,0.21,0.1,0.05,243.82,1.52,2,1,0.20,13,-9999
,1102,26,0.22,0.11,0.06,243.82,1.5,1,1,0.32,13,-9999
,1201,3,0.6,0.4,0.20,2592,0.5,85,1,0.20,0,-9999
,1202,5,0.27,0.12,0.05,243.82,1.5,1,1,0.20,20,-9999
,1203,20,0.25,0.08,0.03,243.82,1.48,0.5,1,0.32,20,-9999
,1204,23,0.19,0.07,0.03,243.82,1.5,0.5,1,0.28,30,-9999
,1205,11,0.15,0.06,0.02,243.82,1.5,0.5,1,0.28,40,-9999
,1206,20,0.11,0.05,0.02,243.82,1.48,0.5,1,0.28,61,-9999
,1207,20,0.1,0.06,0.04,79.23,1.53,0.5,1,0.28,60,-9999
,1208,23,0.1,0.05,0.02,243.82,1.51,0,0,0.32,55,-9999
,1301,3,0.6,0.4,0.20,2592,0.5,85,1,0.20,0,-9999
,1302,5,0.27,0.12,0.05,243.82,1.5,1,1,0.20,20,-9999
,1303,20,0.25,0.08,0.03,243.82,1.48,0.5,1,0.32,20,-9999
,1304,23,0.19,0.07,0.03,243.82,1.5,0.5,1,0.28,30,-9999
,1305,11,0.15,0.06,0.02,243.82,1.5,0.5,1,0.28,40,-9999
,1306,20,0.11,0.05,0.02,243.82,1.48,0.5,1,0.28,61,-9999
,1307,20,0.1,0.06,0.04,79.23,1.53,0.5,1,0.28,60,-9999
,1308,23,0.1,0.05,0.02,243.82,1.51,0,0,0.32,55,-9999
,1401,8,0.43,0.26,0.11,79.23,1.35,2.5,1,0.24,0,-9999
,1402,20,0.32,0.19,0.12,243.82,1.5,2.5,1,0.15,0,-9999
,1403,28,0.31,0.19,0.12,243.82,1.5,2.5,1,0.17,0,-9999
,1404,30,0.19,0.09,0.04,243.82,1.55,1.5,1,0.17,18,-9999
,1405,51,0.14,0.07,0.04,243.82,1.54,1.5,1,0.20,23,-9999
,1406,20,0.12,0.08,0.05,79.23,1.5,1,0,0.24,22,-9999
,1501,5,0.37,0.21,0.09,79.23,1.32,1,1,0.49,27,-9999
,1502,18,0.22,0.12,0.05,79.23,1.32,1,1,0.49,31,-9999
,1503,48,0.21,0.07,0.02,243.82,1.48,0.5,1,0.24,31,-9999
,1504,43,0.1,0.03,0.01,243.82,1.72,0.5,0,0.10,38,-9999
,1505,38,0.09,0.02,0.01,243.82,1.72,0,0,0.10,42,-9999
,1601,23,0.26,0.11,0.05,243.82,1.4,2,1,0.32,0,-9999
,1602,20,0.22,0.14,0.09,79.23,1.5,1,1,0.28,0,-9999
,1701,3,0.6,0.4,0.20,2592,0.5,85,1,0.20,0,-9999
,1702,1,0.35,0.18,0.06,243.82,1.32,1.5,1,0.43,8,-9999
,1703,9,0.2,0.09,0.05,243.82,1.5,1,1,0.28,19,-9999
,1704,15,0.12,0.05,0.03,243.82,1.5,0.5,1,0.32,28,-9999
,1705,11,0.11,0.04,0.02,243.82,1.48,0,1,0.28,28,-9999
,1801,5,0.37,0.21,0.09,79.23,1.32,1,1,0.49,27,-9999
,1802,18,0.22,0.12,0.05,79.23,1.32,1,1,0.49,31,-9999
,1803,48,0.21,0.07,0.02,243.82,1.48,0.5,1,0.32,31,-9999
,1804,43,0.1,0.03,0.01,243.82,1.72,0.5,0,0.28,38,-9999
,1805,38,0.09,0.02,0.00,243.82,1.72,0,0,0.32,42,-9999
,1901,2,0.6,0.4,0.20,2592,0.5,85,1,0.20,0,-9999
,1902,18,0.27,0.11,0.05,243.82,1.35,2,1,0.17,21,-9999
,1903,12,0.23,0.1,0.04,243.82,1.48,1,1,0.20,38,-9999
,1904,44,0.19,0.07,0.03,243.82,1.48,0,1,0.28,49,-9999
,2001,5,0.37,0.21,0.09,79.23,1.32,1,1,0.49,27,-9999
,2002,18,0.22,0.12,0.05,79.23,1.32,1,1,0.49,31,-9999
,2003,48,0.21,0.07,0.02,243.82,1.48,0.5,1,0.24,31,-9999
,2004,43,0.1,0.03,0.01,243.82,1.72,0.5,0,0.10,38,-9999
,2005,38,0.09,0.02,0.01,243.82,1.72,0,0,0.10,42,-9999
,2101,5,0.37,0.21,0.09,79.23,1.32,1,1,0.49,27,-9999
,2102,18,0.22,0.12,0.05,79.23,1.32,1,1,0.49,31,-9999
,2103,48,0.21,0.07,0.02,243.82,1.48,0.5,1,0.24,31,-9999
,2104,43,0.1,0.03,0.01,243.82,1.72,0.5,0,0.10,38,-9999
,2105,38,0.09,0.02,0.01,243.82,1.72,0,0,0.10,42,-9999
