HRU: 3, toHRU: 1
HRU: 49, toHRU: 2
HRU: 42, toHRU: 2
HRU: 2, toHRU: 44
HRU: 38, toHRU: 2
HRU: 7, toHRU: 3
HRU: 4, toHRU: 12
HRU: 13, toHRU: 5
HRU: 8, toHRU: 5
HRU: 7, toHRU: 6
HRU: 26, toHRU: 6
HRU: 40, toHRU: 6
HRU: 6, toHRU: 11
HRU: 6, toHRU: 48
HRU: 40, toHRU: 7
HRU: 7, toHRU: 45
HRU: 9, toHRU: 13
HRU: 48, toHRU: 11
HRU: 11, toHRU: 14
HRU: 32, toHRU: 15
HRU: 19, toHRU: 15
HRU: 19, toHRU: 16
HRU: 29, toHRU: 17
HRU: 18, toHRU: 57
HRU: 60, toHRU: 19
HRU: 27, toHRU: 19
HRU: 19, toHRU: 41
HRU: 58, toHRU: 20
HRU: 20, toHRU: 39
HRU: 20, toHRU: 58
HRU: 20, toHRU: 52
HRU: 22, toHRU: 29
HRU: 36, toHRU: 23
HRU: 47, toHRU: 25
HRU: 40, toHRU: 26
HRU: 60, toHRU: 27
HRU: 27, toHRU: 32
HRU: 89, toHRU: 35
HRU: 93, toHRU: 35
HRU: 41, toHRU: 36
HRU: 91, toHRU: 37
HRU: 39, toHRU: 59
HRU: 49, toHRU: 42
HRU: 43, toHRU: 54
HRU: 43, toHRU: 81
HRU: 45, toHRU: 75
HRU: 54, toHRU: 46
HRU: 70, toHRU: 46
HRU: 54, toHRU: 77
HRU: 70, toHRU: 77
HRU: 62, toHRU: 48
HRU: 56, toHRU: 52
HRU: 56, toHRU: 58
HRU: 83, toHRU: 52
HRU: 94, toHRU: 53
HRU: 54, toHRU: 70
HRU: 59, toHRU: 56
HRU: 56, toHRU: 83
HRU: 60, toHRU: 63
HRU: 63, toHRU: 68
HRU: 113, toHRU: 64
HRU: 128, toHRU: 64
HRU: 64, toHRU: 69
HRU: 65, toHRU: 92
HRU: 65, toHRU: 110
HRU: 112, toHRU: 66
HRU: 99, toHRU: 66
HRU: 105, toHRU: 66
HRU: 66, toHRU: 67
HRU: 86, toHRU: 76
HRU: 87, toHRU: 79
HRU: 117, toHRU: 79
HRU: 220, toHRU: 79
HRU: 79, toHRU: 161
HRU: 80, toHRU: 88
HRU: 91, toHRU: 82
HRU: 83, toHRU: 98
HRU: 101, toHRU: 85
HRU: 87, toHRU: 117
HRU: 88, toHRU: 101
HRU: 119, toHRU: 89
HRU: 110, toHRU: 92
HRU: 135, toHRU: 92
HRU: 94, toHRU: 120
HRU: 152, toHRU: 94
HRU: 159, toHRU: 97
HRU: 126, toHRU: 99
HRU: 126, toHRU: 112
HRU: 146, toHRU: 101
HRU: 151, toHRU: 101
HRU: 150, toHRU: 101
HRU: 136, toHRU: 101
HRU: 102, toHRU: 116
HRU: 105, toHRU: 126
HRU: 123, toHRU: 107
HRU: 107, toHRU: 108
HRU: 148, toHRU: 110
HRU: 110, toHRU: 135
HRU: 148, toHRU: 135
HRU: 140, toHRU: 113
HRU: 129, toHRU: 113
HRU: 113, toHRU: 128
HRU: 127, toHRU: 113
HRU: 165, toHRU: 121
HRU: 132, toHRU: 121
HRU: 134, toHRU: 123
HRU: 158, toHRU: 123
HRU: 160, toHRU: 127
HRU: 153, toHRU: 127
HRU: 155, toHRU: 128
HRU: 140, toHRU: 129
HRU: 235, toHRU: 129
HRU: 240, toHRU: 129
HRU: 165, toHRU: 132
HRU: 154, toHRU: 134
HRU: 134, toHRU: 158
HRU: 194, toHRU: 158
HRU: 150, toHRU: 136
HRU: 144, toHRU: 220
HRU: 151, toHRU: 146
HRU: 167, toHRU: 148
HRU: 151, toHRU: 150
HRU: 162, toHRU: 150
HRU: 186, toHRU: 151
HRU: 160, toHRU: 153
HRU: 201, toHRU: 156
HRU: 186, toHRU: 162
HRU: 195, toHRU: 162
HRU: 177, toHRU: 167
HRU: 178, toHRU: 169
HRU: 170, toHRU: 185
HRU: 175, toHRU: 191
HRU: 176, toHRU: 241
HRU: 230, toHRU: 178
HRU: 182, toHRU: 214
HRU: 182, toHRU: 315
HRU: 185, toHRU: 207
HRU: 204, toHRU: 186
HRU: 237, toHRU: 186
HRU: 195, toHRU: 186
HRU: 231, toHRU: 186
HRU: 233, toHRU: 193
HRU: 273, toHRU: 194
HRU: 231, toHRU: 195
HRU: 196, toHRU: 204
HRU: 199, toHRU: 212
HRU: 263, toHRU: 200
HRU: 200, toHRU: 247
HRU: 262, toHRU: 200
HRU: 243, toHRU: 202
HRU: 286, toHRU: 202
HRU: 259, toHRU: 203
HRU: 203, toHRU: 260
HRU: 204, toHRU: 237
HRU: 206, toHRU: 222
HRU: 209, toHRU: 232
HRU: 221, toHRU: 213
HRU: 217, toHRU: 215
HRU: 250, toHRU: 215
HRU: 215, toHRU: 250
HRU: 218, toHRU: 235
HRU: 230, toHRU: 221
HRU: 222, toHRU: 234
HRU: 252, toHRU: 225
HRU: 280, toHRU: 225
HRU: 338, toHRU: 225
HRU: 225, toHRU: 238
HRU: 273, toHRU: 225
HRU: 227, toHRU: 250
HRU: 265, toHRU: 236
HRU: 243, toHRU: 281
HRU: 244, toHRU: 266
HRU: 267, toHRU: 244
HRU: 244, toHRU: 309
HRU: 244, toHRU: 336
HRU: 244, toHRU: 313
HRU: 264, toHRU: 246
HRU: 258, toHRU: 248
HRU: 248, toHRU: 284
HRU: 248, toHRU: 270
HRU: 252, toHRU: 295
HRU: 254, toHRU: 278
HRU: 257, toHRU: 254
HRU: 260, toHRU: 271
HRU: 260, toHRU: 298
HRU: 260, toHRU: 378
HRU: 263, toHRU: 262
HRU: 289, toHRU: 262
HRU: 282, toHRU: 262
HRU: 289, toHRU: 263
HRU: 266, toHRU: 265
HRU: 286, toHRU: 269
HRU: 302, toHRU: 269
HRU: 270, toHRU: 284
HRU: 280, toHRU: 273
HRU: 274, toHRU: 300
HRU: 365, toHRU: 366
HRU: 325, toHRU: 279
HRU: 322, toHRU: 319
HRU: 289, toHRU: 279
HRU: 316, toHRU: 279
HRU: 286, toHRU: 281
HRU: 282, toHRU: 289
HRU: 310, toHRU: 282
HRU: 289, toHRU: 282
HRU: 293, toHRU: 282
HRU: 301, toHRU: 283
HRU: 307, toHRU: 283
HRU: 284, toHRU: 301
HRU: 312, toHRU: 285
HRU: 304, toHRU: 285
HRU: 317, toHRU: 285
HRU: 302, toHRU: 286
HRU: 287, toHRU: 294
HRU: 306, toHRU: 288
HRU: 348, toHRU: 288
HRU: 310, toHRU: 289
HRU: 316, toHRU: 289
HRU: 291, toHRU: 296
HRU: 311, toHRU: 292
HRU: 339, toHRU: 293
HRU: 319, toHRU: 293
HRU: 301, toHRU: 297
HRU: 349, toHRU: 300
HRU: 342, toHRU: 349
HRU: 342, toHRU: 364
HRU: 368, toHRU: 300
HRU: 305, toHRU: 300
HRU: 301, toHRU: 307
HRU: 301, toHRU: 370
HRU: 350, toHRU: 301
HRU: 375, toHRU: 301
HRU: 374, toHRU: 301
HRU: 333, toHRU: 307
HRU: 363, toHRU: 301
HRU: 363, toHRU: 370
HRU: 303, toHRU: 321
HRU: 341, toHRU: 304
HRU: 362, toHRU: 328
