# hrus.csv created Fri, 16 Jun 2023, 18:14:47 called by HRU-delin
@T,hrus,
name,hrus.csv,
descr,hrus input parameter file,
,
@H,ID,x,y,elevation,area,type,slope,aspect,flowlength,soilID,landuseID,hgeoID,subcatch,
min,0,-180,-90,0,0,0,0,0,0,0,0,0,0,
max,9999,180,90,10000,9999999999,3,90,360,999999,9999,9999,9999,99999,
unit,n/a,longitude,latitude,m,m2,n/a,deg,deg,m,n/a,n/a,n/a,n/a,
,1,-105.55322195,40.67358133,2561,36700,1,10.696,314,0,0,15,0,7,,
,2,-105.54487517,40.67128963,2523,314700,1,7.826,270,0,0,15,0,4,,
,3,-105.54909189,40.67285308,2533,59800,1,14.077,256,0,0,15,0,7,,
,4,-105.59972437,40.67194538,2727,24900,1,9.604,268,0,0,2,0,1,,
,5,-105.58525883,40.67068234,2692,36500,1,6.918,147,0,0,2,0,5,,
,6,-105.5544582,40.66898361,2526,185500,1,12.136,-17,0,0,2,0,7,,
,7,-105.55175661,40.6714777,2517,188400,1,7.772,-38,0,0,15,0,7,,
,8,-105.59316558,40.67290848,2709,20200,1,8.483,300,0,0,2,0,5,,
,9,-105.58694668,40.66995702,2662,337700,1,15.805,256,0,0,2,0,5,,
,10,-105.59700131,40.670912,2682,164300,1,15.204,277,0,0,2,0,1,,
,11,-105.55891578,40.67080526,2579,94800,1,8.355,-43,0,0,2,0,7,,
,12,-105.59753086,40.67262642,2724,22000,1,17.562,273,0,0,2,0,1,,
,13,-105.58755698,40.67174072,2686,53700,1,14.489,268,0,0,2,0,5,,
,14,-105.5606104,40.67113707,2603,28900,1,10.256,-42,0,0,2,0,7,,
,15,-105.52798718,40.67031931,2586,66200,1,12.253,183,0,0,2,0,2,,
,16,-105.53078156,40.67026814,2568,21200,1,7.954,310,0,0,2,0,2,,
,17,-105.56605739,40.67031823,2617,72300,1,11.339,308,0,0,2,0,3,,
,18,-105.5633189,40.66687574,2548,347700,1,13.762,291,0,0,2,0,3,,
,19,-105.53336037,40.66830116,2529,160200,1,14.854,280,0,0,2,0,2,,
,20,-105.59758396,40.66871235,2680,95700,1,15.595,41,0,0,3,0,1,,
,21,-105.60330089,40.66939244,2704,20700,1,15.973,301,0,0,2,0,1,,
,22,-105.57062965,40.6688321,2629,50200,1,11.034,-17,0,0,2,0,3,,
,23,-105.53516838,40.66955171,2565,44700,1,8.685,260,0,0,2,0,2,,
,24,-105.60613782,40.66860448,2733,32900,1,15.428,304,0,0,3,0,1,,
,25,-105.5748137,40.66856623,2675,30500,1,8.156,-25,0,0,2,0,17,,
,26,-105.55263415,40.66872701,2504,42800,1,9.458,-33,0,0,2,0,7,,
,27,-105.53020977,40.66739493,2549,39800,1,20.317,140,0,0,3,0,2,,
,28,-105.59878721,40.67038998,2665,55300,1,16.417,113,0,0,2,0,1,,
,29,-105.56877164,40.67028239,2627,49100,1,7.155,310,0,0,2,0,3,,
,30,-105.6039348,40.66820129,2688,48100,1,12.687,310,0,0,2,0,1,,
,31,-105.59024814,40.66922728,2619,33300,1,11.651,282,0,0,2,0,5,,
,32,-105.52821651,40.66904316,2566,57300,1,15.014,155,0,0,3,0,2,,
,33,-105.5900348,40.66845931,2618,35200,1,13.219,87,0,0,1,0,5,,
