@T,climate,
name,breakpoint,
desc,measured breakpoint precipitation,
,,
missing_val,-9999,
date_start,31.12.2020 00:00:00,
date_end,07.03.2023 23:59:59,
date_format,dd.MM.yyyy HH:mm:ss,
,,
unit,mm,
,,
@H,time,B_SaltCabin
ID,-,80
elevation,-,2497.602482
x,-,451727.7
y,-,4501316.3
,27.07.2021 10:40:00,1.016
,31.07.2021 06:30:00,1.016
,31.07.2021 12:30:00,1.016
,31.07.2021 12:40:00,1.016
,31.07.2021 13:40:00,1.016
,31.07.2021 14:50:00,1.016
,31.07.2021 15:10:00,1.016
,02.08.2021 19:00:00,1.016
,03.08.2021 13:00:00,1.016
,03.08.2021 14:10:00,1.016
,03.08.2021 19:40:00,1.016
,03.08.2021 20:20:00,1.016
,06.08.2021 19:10:00,3.048
,18.08.2021 15:20:00,1.016
,18.08.2021 15:30:00,1.016
,18.08.2021 16:00:00,1.016
,01.09.2021 21:00:00,1.016
,02.09.2021 01:50:00,1.016
,02.09.2021 18:40:00,1.016
,03.09.2021 11:50:00,1.016
,03.09.2021 15:30:00,1.016
,12.09.2021 14:40:00,2.032
,12.09.2021 15:00:00,1.016
,20.09.2021 02:00:00,1.016
,29.09.2021 16:00:00,1.016
,29.09.2021 16:10:00,1.016
,29.09.2021 16:20:00,1.016
,09.10.2021 07:20:00,1.016
,02.05.2022 13:40:00,1.016
,02.05.2022 13:50:00,1.016
,02.05.2022 14:00:00,1.016
,02.05.2022 14:10:00,1.016
,02.05.2022 14:20:00,1.016
,02.05.2022 14:40:00,1.016
,03.05.2022 18:50:00,1.016
,03.05.2022 19:10:00,1.016
,03.05.2022 19:20:00,1.016
,03.05.2022 23:10:00,1.016
,04.05.2022 10:20:00,1.016
,04.05.2022 11:40:00,1.016
,04.05.2022 11:50:00,1.016
,04.05.2022 12:00:00,1.016
,04.05.2022 12:10:00,2.032
,04.05.2022 12:20:00,2.032
,04.05.2022 12:30:00,2.032
,04.05.2022 12:40:00,1.016
,04.05.2022 12:50:00,1.016
,08.05.2022 01:20:00,1.016
,08.05.2022 05:10:00,1.016
,08.05.2022 05:40:00,1.016
,08.05.2022 06:40:00,1.016
,08.05.2022 07:00:00,1.016
,08.05.2022 07:10:00,1.016
,08.05.2022 07:30:00,1.016
,08.05.2022 07:50:00,1.016
,08.05.2022 08:30:00,1.016
,09.05.2022 05:50:00,1.016
,20.05.2022 13:30:00,1.016
,20.05.2022 14:10:00,1.016
,21.05.2022 10:00:00,1.016
,21.05.2022 10:50:00,1.016
,21.05.2022 11:00:00,1.016
,21.05.2022 11:10:00,2.032
,21.05.2022 11:30:00,1.016
,21.05.2022 11:40:00,1.016
,22.05.2022 20:50:00,1.016
,23.05.2022 08:10:00,1.016
,23.05.2022 09:10:00,1.016
,23.05.2022 09:30:00,1.016
,24.05.2022 14:00:00,1.016
,24.05.2022 15:50:00,1.016
,24.05.2022 16:00:00,1.016
,24.05.2022 16:20:00,1.016
,24.05.2022 16:30:00,1.016
,24.05.2022 16:40:00,1.016
,24.05.2022 17:00:00,1.016
,24.05.2022 21:00:00,1.016
,25.05.2022 08:30:00,1.016
,25.05.2022 08:40:00,2.032
,25.05.2022 09:00:00,1.016
,25.05.2022 09:10:00,1.016
,25.05.2022 09:20:00,1.016
,29.05.2022 14:40:00,1.016
,29.05.2022 18:30:00,1.016
,31.05.2022 15:40:00,1.016
,31.05.2022 15:50:00,1.016
,31.05.2022 17:00:00,1.016
,01.06.2022 09:40:00,1.016
,01.06.2022 09:50:00,1.016
,01.06.2022 10:00:00,3.048
,01.06.2022 10:10:00,3.048
,01.06.2022 10:20:00,2.032
,01.06.2022 10:30:00,1.016
,01.06.2022 10:40:00,1.016
,01.06.2022 10:50:00,1.016
,01.06.2022 11:00:00,1.016
,01.06.2022 11:10:00,1.016
,01.06.2022 11:20:00,1.016
,05.06.2022 18:00:00,1.016
,06.06.2022 16:00:00,2.032
,06.06.2022 16:10:00,1.016
,07.06.2022 02:10:00,1.016
,17.06.2022 18:10:00,1.016
,17.06.2022 18:20:00,1.016
,26.06.2022 14:20:00,3.048
,26.06.2022 14:50:00,1.016
,26.06.2022 17:40:00,1.016
,30.06.2022 19:50:00,1.016
,30.06.2022 21:10:00,1.016
,01.07.2022 20:00:00,1.016
,01.07.2022 20:10:00,2.032
,03.07.2022 18:40:00,1.016
,03.07.2022 18:50:00,1.016
,03.07.2022 19:00:00,1.016
,05.07.2022 12:20:00,1.016
,05.07.2022 12:30:00,3.048
,05.07.2022 12:40:00,1.016
,05.07.2022 15:10:00,1.016
,05.07.2022 15:20:00,1.016
,05.07.2022 15:30:00,1.016
,05.07.2022 15:40:00,1.016
,05.07.2022 16:00:00,1.016
,05.07.2022 22:10:00,1.016
,06.07.2022 04:50:00,1.016
,06.07.2022 05:20:00,1.016
,06.07.2022 06:10:00,1.016
,06.07.2022 06:30:00,1.016
,06.07.2022 06:40:00,1.016
,06.07.2022 07:00:00,1.016
,06.07.2022 15:10:00,8.128
,06.07.2022 15:20:00,2.032
,06.07.2022 15:30:00,1.016
,15.07.2022 12:30:00,1.016
,15.07.2022 17:00:00,5.08
,15.07.2022 17:10:00,4.064
,15.07.2022 18:50:00,1.016
,15.07.2022 21:30:00,1.016
,15.07.2022 21:40:00,1.016
,15.07.2022 22:20:00,1.016
,15.07.2022 23:10:00,1.016
,15.07.2022 23:30:00,1.016
,15.07.2022 23:40:00,1.016
,16.07.2022 00:10:00,1.016
,16.07.2022 15:10:00,1.016
,16.07.2022 17:00:00,1.016
,23.07.2022 18:20:00,1.016
,23.07.2022 19:50:00,1.016
,24.07.2022 15:20:00,1.016
,24.07.2022 15:30:00,1.016
,27.07.2022 20:30:00,1.016
,27.07.2022 20:40:00,4.064
,01.08.2022 15:40:00,1.016
,03.08.2022 15:10:00,1.016
,05.08.2022 15:20:00,1.016
,05.08.2022 15:50:00,2.032
,05.08.2022 16:00:00,1.016
,05.08.2022 20:40:00,1.016
,14.08.2022 14:00:00,1.016
,14.08.2022 16:00:00,1.016
,14.08.2022 19:20:00,1.016
,14.08.2022 19:30:00,1.016
,15.08.2022 13:50:00,1.016
,15.08.2022 14:00:00,1.016
,15.08.2022 15:00:00,1.016
,15.08.2022 15:40:00,1.016
,15.08.2022 15:50:00,1.016
,15.08.2022 16:00:00,1.016
,15.08.2022 16:10:00,1.016
,15.08.2022 16:20:00,3.048
,15.08.2022 16:30:00,1.016
,15.08.2022 17:50:00,1.016
,15.08.2022 18:50:00,1.016
,15.08.2022 19:20:00,1.016
,15.08.2022 19:40:00,1.016
,15.08.2022 19:50:00,1.016
,15.08.2022 20:10:00,1.016
,21.08.2022 11:50:00,2.032
,21.08.2022 12:00:00,2.032
,21.08.2022 12:10:00,2.032
,21.08.2022 12:30:00,1.016
,25.08.2022 14:50:00,2.032
,25.08.2022 15:00:00,2.032
,25.08.2022 15:10:00,2.032
,25.08.2022 20:30:00,1.016
,10.09.2022 02:00:00,1.016
,10.09.2022 03:40:00,1.016
,10.09.2022 07:10:00,1.016
,14.09.2022 16:30:00,1.016
,14.09.2022 16:40:00,1.016
,14.09.2022 16:50:00,1.016
,21.09.2022 15:20:00,1.016
,21.09.2022 15:40:00,1.016
,21.09.2022 16:00:00,1.016
,21.09.2022 16:30:00,1.016
,21.09.2022 17:20:00,1.016
,21.09.2022 18:50:00,1.016
,21.09.2022 20:30:00,1.016
,21.09.2022 21:20:00,1.016
,22.09.2022 00:10:00,1.016
,22.09.2022 07:00:00,1.016
