@T,climate,
name,breakpoint,
desc,measured breakpoint precipitation,
,,
missing_val,-9999,
date_start,31.12.2020 00:00:00,
date_end,07.03.2023 23:59:59,
date_format,dd.MM.yyyy HH:mm:ss,
,,
unit,mm,
,,
@H,time,MRMS_18
ID,-,18
elevation,-,2437.075
x,-,453926.3
y,-,4500602.7
,02.01.2021 17:40:00,0.007055557
,02.01.2021 17:50:00,0.026458338
,02.01.2021 18:00:00,0.022930555
,02.01.2021 18:10:00,0.021166672
,03.01.2021 20:50:00,0.009524998
,03.01.2021 21:00:00,0.011641665
,03.01.2021 21:50:00,0.009524998
,03.01.2021 22:00:00,0.020108335
,03.01.2021 22:10:00,0.031397226
,03.01.2021 22:20:00,0.058208333
,03.01.2021 22:30:00,0.075141662
,03.01.2021 22:40:00,0.095955553
,03.01.2021 22:50:00,0.073730553
,03.01.2021 23:00:00,0.051858334
,03.01.2021 23:10:00,0.162277795
,03.01.2021 23:20:00,0.064558345
,03.01.2021 23:30:00,0.006350002
,03.01.2021 23:50:00,0.025047226
,04.01.2021 00:00:00,0.02010833
,05.01.2021 05:40:00,0.005291666
,05.01.2021 05:50:00,0.024341668
,05.01.2021 06:00:00,0.030338893
,05.01.2021 06:10:00,0.026811118
,05.01.2021 06:20:00,0.040569449
,05.01.2021 06:30:00,0.027163889
,05.01.2021 06:40:00,0.021872226
,05.01.2021 06:50:00,0.045861112
,05.01.2021 07:00:00,0.044097227
,05.01.2021 07:10:00,0.040216668
,05.01.2021 07:20:00,0.012347222
,05.01.2021 13:30:00,0.022577779
,05.01.2021 13:40:00,0.045155557
,05.01.2021 18:20:00,0.00987778
,05.01.2021 18:30:00,0.00987778
,09.01.2021 07:30:00,0.005291666
,09.01.2021 07:40:00,0.012699998
,09.01.2021 07:50:00,0.028927781
,09.01.2021 08:00:00,0.037041669
,09.01.2021 08:10:00,0.04550834
,09.01.2021 08:20:00,0.052563889
,09.01.2021 08:30:00,0.046919443
,09.01.2021 08:40:00,0.019402778
,09.01.2021 11:40:00,0.005291666
,09.01.2021 11:50:00,0.022930555
,09.01.2021 12:00:00,0.026458338
,09.01.2021 12:10:00,0.027516665
,09.01.2021 12:20:00,0.032102781
,09.01.2021 12:30:00,0.028222229
,09.01.2021 12:40:00,0.028222229
,09.01.2021 12:50:00,0.035630559
,09.01.2021 13:00:00,0.035277778
,09.01.2021 13:10:00,0.044450002
,09.01.2021 13:20:00,0.044802786
,09.01.2021 13:30:00,0.042333343
,09.01.2021 13:40:00,0.042333343
,09.01.2021 13:50:00,0.036336113
,09.01.2021 14:00:00,0.035277778
,09.01.2021 14:10:00,0.026105553
,09.01.2021 14:20:00,0.021166663
,09.01.2021 14:30:00,0.021166663
,09.01.2021 14:40:00,0.021166663
,09.01.2021 14:50:00,0.027163894
,09.01.2021 15:00:00,0.028222229
,09.01.2021 15:10:00,0.022224998
,09.01.2021 15:20:00,0.027163894
,09.01.2021 15:30:00,0.028927785
,09.01.2021 15:40:00,0.041627788
,09.01.2021 15:50:00,0.028222229
,09.01.2021 16:00:00,0.028222229
,09.01.2021 16:10:00,0.028222229
,09.01.2021 16:20:00,0.026458338
,09.01.2021 16:30:00,0.021166663
,09.01.2021 16:40:00,0.022930555
,09.01.2021 16:50:00,0.029280555
,09.01.2021 17:00:00,0.047625005
,09.01.2021 17:10:00,0.039158339
,09.01.2021 17:20:00,0.032102781
,09.01.2021 17:30:00,0.028222229
,09.01.2021 17:40:00,0.028222229
,09.01.2021 17:50:00,0.037394453
,09.01.2021 18:00:00,0.042333343
,09.01.2021 18:10:00,0.036688891
,09.01.2021 18:20:00,0.042333343
,09.01.2021 18:30:00,0.037747226
,09.01.2021 18:40:00,0.035277778
,09.01.2021 18:50:00,0.029280561
,09.01.2021 19:00:00,0.022224998
,09.01.2021 19:10:00,0.027163894
,09.01.2021 19:20:00,0.028927785
,09.01.2021 19:30:00,0.041627788
,09.01.2021 19:40:00,0.028575006
,09.01.2021 19:50:00,0.036688889
,09.01.2021 20:00:00,0.069144446
,09.01.2021 20:10:00,0.059619445
,09.01.2021 20:20:00,0.063500003
,09.01.2021 20:30:00,0.040569452
,09.01.2021 20:40:00,0.035277778
,09.01.2021 20:50:00,0.031749999
,09.01.2021 21:00:00,0.011641665
,13.01.2021 20:10:00,0.01305278
,13.01.2021 20:20:00,0.030691671
,13.01.2021 20:30:00,0.041980563
,13.01.2021 20:40:00,0.024341671
,13.01.2021 21:00:00,0.012700003
,13.01.2021 21:10:00,0.045155557
,13.01.2021 21:20:00,0.055386111
,13.01.2021 21:30:00,0.048330564
,13.01.2021 21:40:00,0.03245556
,13.01.2021 21:50:00,0.002116667
,13.01.2021 23:20:00,0.001058333
,13.01.2021 23:30:00,0.02010833
,13.01.2021 23:40:00,0.008466665
,14.01.2021 00:00:00,0.008466665
,14.01.2021 00:10:00,0.008466665
,14.01.2021 00:30:00,0.001058333
,14.01.2021 00:40:00,0.02010833
,14.01.2021 01:20:00,0.003527779
,14.01.2021 01:30:00,0.007761113
,16.01.2021 04:40:00,0.000705556
,16.01.2021 04:50:00,0.017638888
,16.01.2021 05:00:00,0.001058333
,16.01.2021 05:10:00,0.014463888
,17.01.2021 23:20:00,0.006350002
,17.01.2021 23:30:00,0.00493889
,18.01.2021 00:00:00,0.012347221
,18.01.2021 00:10:00,0.02434167
,18.01.2021 00:20:00,0.005291666
,18.01.2021 00:30:00,0.007408332
,18.01.2021 01:20:00,0.009524998
,18.01.2021 01:30:00,0.046566662
,18.01.2021 01:40:00,0.058561107
,18.01.2021 01:50:00,0.021872224
,18.01.2021 02:00:00,0.039511112
,18.01.2021 02:10:00,0.104422228
,18.01.2021 02:20:00,0.156986118
,18.01.2021 02:30:00,0.140758337
,18.01.2021 02:40:00,0.077963893
,18.01.2021 02:50:00,0.038100003
,18.01.2021 03:00:00,0.037394453
,18.01.2021 03:10:00,0.01481667
,18.01.2021 03:30:00,0.028575001
,18.01.2021 03:40:00,0.005291667
,18.01.2021 04:20:00,0.001058333
,18.01.2021 04:30:00,0.02010833
,18.01.2021 08:00:00,0.004233333
,18.01.2021 11:00:00,0.006350002
,18.01.2021 11:10:00,0.007761113
,18.01.2021 11:30:00,0.013758331
,18.01.2021 11:40:00,0.034925005
,18.01.2021 11:50:00,0.01481667
,18.01.2021 12:20:00,0.017991664
,18.01.2021 12:30:00,0.003174999
,18.01.2021 12:40:00,0.016580554
,18.01.2021 12:50:00,0.025400003
,18.01.2021 13:00:00,0.02786945
,18.01.2021 13:10:00,0.041980565
,18.01.2021 13:20:00,0.034572222
,18.01.2021 13:30:00,0.02010833
,21.01.2021 19:20:00,0.006350002
,21.01.2021 19:30:00,0.002116667
,21.01.2021 22:00:00,0.013758331
,21.01.2021 22:10:00,0.007408332
,21.01.2021 22:20:00,0.013758331
,21.01.2021 22:30:00,0.008466665
,21.01.2021 22:40:00,0.007408332
,22.01.2021 04:00:00,0.029986111
,22.01.2021 04:10:00,0.005291667
,22.01.2021 16:10:00,0.014111109
,22.01.2021 16:20:00,0.048330562
,22.01.2021 16:30:00,0.063500007
,22.01.2021 16:40:00,0.061030555
,22.01.2021 16:50:00,0.010583333
,23.01.2021 07:50:00,0.015169443
,23.01.2021 08:00:00,0.048683337
,23.01.2021 08:10:00,0.034572225
,23.01.2021 08:20:00,0.021166663
,23.01.2021 08:30:00,0.015874997
,23.01.2021 09:10:00,0.012700003
,23.01.2021 09:20:00,0.025047224
,23.01.2021 09:30:00,0.011641665
,23.01.2021 09:40:00,0.057150006
,23.01.2021 09:50:00,0.044450005
,23.01.2021 11:50:00,0.023988895
,23.01.2021 12:00:00,0.004233334
,23.01.2021 12:30:00,0.000705556
,23.01.2021 12:40:00,0.014111114
,23.01.2021 12:50:00,0.00493889
,23.01.2021 13:30:00,0.003527779
,23.01.2021 13:40:00,0.035983334
,23.01.2021 13:50:00,0.092427781
,23.01.2021 14:00:00,0.02963334
,23.01.2021 14:10:00,0.010583332
,23.01.2021 15:30:00,0.001058333
,23.01.2021 15:40:00,0.028575001
,23.01.2021 15:50:00,0.00987778
,23.01.2021 16:10:00,0.008466665
,23.01.2021 17:10:00,0.011994447
,23.01.2021 17:20:00,0.015875002
,23.01.2021 17:30:00,0.063499999
,23.01.2021 17:40:00,0.117475014
,23.01.2021 17:50:00,0.084666687
,23.01.2021 18:00:00,0.081491675
,23.01.2021 18:10:00,0.077611104
,23.01.2021 18:20:00,0.061736112
,23.01.2021 18:30:00,0.039863895
,23.01.2021 18:40:00,0.039863895
,23.01.2021 18:50:00,0.056091675
,23.01.2021 19:00:00,0.066322226
,23.01.2021 19:10:00,0.053975008
,23.01.2021 19:20:00,0.034572225
,23.01.2021 19:30:00,0.023636111
,23.01.2021 19:40:00,0.034925005
,23.01.2021 19:50:00,0.054680561
