@T,climate,
name,precip.csv,
desc,breakpoint precip,
,,
missing_val,-9999,
date_start,31.12.2020 00:00:00,
date_end,07.03.2023 23:59:59,
date_format,dd.MM.yyyy HH:mm:ss,
,,
tres,d,
unit,mm,
,,
@H,time,MRMS_12
ID,-,12
,02.01.2021 17:40:00,0.005291666
,02.01.2021 17:50:00,0.015874997
,02.01.2021 18:00:00,0.007055557
,02.01.2021 18:10:00,0.021166672
,03.01.2021 20:50:00,0.006350002
,03.01.2021 21:00:00,0.007761113
,03.01.2021 22:00:00,0.015169444
,03.01.2021 22:10:00,0.027869446
,03.01.2021 22:20:00,0.043744453
,03.01.2021 22:30:00,0.056444452
,03.01.2021 22:40:00,0.102658346
,03.01.2021 22:50:00,0.078669449
,03.01.2021 23:00:00,0.044450001
,03.01.2021 23:10:00,0.093486115
,03.01.2021 23:20:00,0.059619446
,03.01.2021 23:30:00,0.008466666
,03.01.2021 23:50:00,0.026458339
,04.01.2021 00:00:00,0.02010833
,05.01.2021 05:40:00,0.007055557
,05.01.2021 05:50:00,0.028222229
,05.01.2021 06:00:00,0.03069167
,05.01.2021 06:10:00,0.033866666
,05.01.2021 06:20:00,0.046213895
,05.01.2021 06:30:00,0.023283339
,05.01.2021 06:40:00,0.018344449
,05.01.2021 06:50:00,0.04198056
,05.01.2021 07:00:00,0.044802786
,05.01.2021 07:10:00,0.037747226
,05.01.2021 07:20:00,0.012347222
,05.01.2021 13:30:00,0.016580557
,05.01.2021 13:40:00,0.018697224
,05.01.2021 18:20:00,0.018697226
,05.01.2021 18:30:00,0.012347222
,09.01.2021 07:30:00,0.005291666
,09.01.2021 07:40:00,0.022930555
,09.01.2021 07:50:00,0.033513895
,09.01.2021 08:00:00,0.049388892
,09.01.2021 08:10:00,0.049388892
,09.01.2021 08:20:00,0.049388892
,09.01.2021 08:30:00,0.039863894
,09.01.2021 08:40:00,0.015522226
,09.01.2021 11:10:00,0.001058333
,09.01.2021 11:20:00,0.022930555
,09.01.2021 11:30:00,0.029633339
,09.01.2021 11:40:00,0.029986116
,09.01.2021 11:50:00,0.037041669
,09.01.2021 12:00:00,0.036336113
,09.01.2021 12:10:00,0.035277778
,09.01.2021 12:20:00,0.031750003
,09.01.2021 12:30:00,0.024341668
,09.01.2021 12:40:00,0.028222229
,09.01.2021 12:50:00,0.031397226
,09.01.2021 13:00:00,0.035277778
,09.01.2021 13:10:00,0.035277778
,09.01.2021 13:20:00,0.039863895
,09.01.2021 13:30:00,0.042333343
,09.01.2021 13:40:00,0.037747226
,09.01.2021 13:50:00,0.035277778
,09.01.2021 14:00:00,0.035277778
,09.01.2021 14:10:00,0.035277778
,09.01.2021 14:20:00,0.030691671
,09.01.2021 14:30:00,0.028222229
,09.01.2021 14:40:00,0.022224998
,09.01.2021 14:50:00,0.021166663
,09.01.2021 15:00:00,0.027163894
,09.01.2021 15:10:00,0.022224998
,09.01.2021 15:20:00,0.022577775
,09.01.2021 15:30:00,0.048683337
,09.01.2021 15:40:00,0.034925
,09.01.2021 15:50:00,0.026811117
,09.01.2021 16:00:00,0.001058333
,09.01.2021 16:10:00,0.02010833
,09.01.2021 16:40:00,0.007055557
,09.01.2021 16:50:00,0.029986116
,09.01.2021 17:00:00,0.033513891
,09.01.2021 17:10:00,0.028222229
,09.01.2021 17:20:00,0.025047224
,09.01.2021 17:30:00,0.021166663
,09.01.2021 17:40:00,0.021166663
,09.01.2021 17:50:00,0.030338888
,09.01.2021 18:00:00,0.035277778
,09.01.2021 18:10:00,0.039863895
,09.01.2021 18:20:00,0.042333343
,09.01.2021 18:30:00,0.028575001
,09.01.2021 18:40:00,0.033161111
,09.01.2021 18:50:00,0.014816665
,09.01.2021 19:00:00,0.021166663
,09.01.2021 19:10:00,0.021166663
,09.01.2021 19:20:00,0.021166663
,09.01.2021 19:30:00,0.021519442
,09.01.2021 19:40:00,0.028927785
,09.01.2021 19:50:00,0.043038898
,09.01.2021 20:00:00,0.055738886
,09.01.2021 20:10:00,0.044450008
,09.01.2021 20:20:00,0.052916667
,09.01.2021 20:30:00,0.038805565
,09.01.2021 20:40:00,0.026458338
,09.01.2021 20:50:00,0.015874997
,13.01.2021 19:50:00,0.007055557
,13.01.2021 20:00:00,0.004233334
,13.01.2021 20:10:00,0.009877777
