@T,climate,,,,,,,,,,,,,
description,Synchronized storm breakpoint data,,,,,,,,,,,,,
missing_value,-9999,,,,,,,,,,,,,
date_format,uuuu-MM-dd HH:mm:ss,,,,,,,,,,,,,
date_start,1/2/2021 16:00,,,,,,,,,,,,,
date_end,12/31/2022 16:00,,,,,,,,,,,,,
,,,,,,,,,,,,,,
@H,time,B_BenCulv,B_OldFlowers,B_SaltCabin,B_ME,B_MM,B_MW,B_UE,MRMS_17,MRMS_18,MRMS_41,MRMS_44,MRMS_73,MRMS_8
ID,,78,79,80,81,82,83,84,17,18,41,44,73,8
elevation,,2309.853102,2605.707442,2497.602482,2405.635952,2605.369327,2374.821676,2409.405438,2622.870789,2437.075,2891.339759,2725.155259,3102.477093,2322.886952
x,,456057.8,452678.3,451727.7,454939.4,453853.4,454517.5,453832.9,453919.5,453926.3,449684.4,449706.9,444627,455617.1
y,,4500792.7,4498634.9,4501316.3,4499608.1,4499724.3,4500646,4500872.3,4499492.7,4500602.7,4498410.1,4501740.2,4500666.2,4500592.5
,1/2/2021 16:00,0,0,0,0,0,0,0,0,0,0.001058333,0,0,0
,1/2/2021 17:00,0,0,0,0,0,0,0,0.059972228,0.05644445,0.151694455,0,0.602191706,0
,1/2/2021 18:00,0,0,0,0,0,0,0,0.052916671,0.021166672,0.174625036,0,0.18661945,0
,1/2/2021 19:00,0,0,0,0,0,0,0,0,0,0.052211106,0,0,0
,1/2/2021 21:00,0,0,0,0,0,0,0,0,0,0.042333326,0,0.045155553,0
,1/3/2021 19:00,0,0,0,0,0,0,0,0,0,0,0,0.051152779,0
,1/3/2021 20:00,0,0,0,0,0,0,0,0.021166663,0.021166663,0.068438896,0,0.667808379,0
,1/3/2021 21:00,0,0,0,0,0,0,0,0.088547224,0.029633333,0.227894462,0.070908347,0.603955626,0.009524998
,1/3/2021 22:00,0,0,0,0,0,0,0,0.481541686,0.386291661,0.477661148,0.450497266,0.850194503,0.285397247
,1/3/2021 23:00,0,0,0,0,0,0,0,0.249766675,0.278341698,0.287161126,0.082550002,0.478366699,0.177800013
,1/5/2021 5:00,0,0,0,0,0,0,0,0.087841675,0.059972227,0.116063892,0.108655565,0.390172261,0.041627776
,1/5/2021 6:00,0,0,0,0,0,0,0,0.324202814,0.206375021,0.508352798,0.566913915,1.246011157,0.145344472
,1/5/2021 7:00,0,0,0,0,0,0,0,0.062088898,0.05256389,0.137583336,0.046919447,0.724605574,0.050094448
,1/5/2021 10:00,0,0,0,0,0,0,0,0,0,0,0,0.466489817,0
,1/5/2021 11:00,0,0,0,0,0,0,0,0,0,0,0,0.10501019,0
,1/5/2021 12:00,0,0,0,0,0,0,0,0,0,0.01693333,0,0,0
,1/5/2021 13:00,0,0,0,0,0,0,0,0.049388892,0.067733336,0.204611124,0,0.134055549,0.028222226
,1/5/2021 14:00,0,0,0,0,0,0,0,0,0,0.042333326,0,0.220486121,0
,1/5/2021 15:00,0,0,0,0,0,0,0,0.021166663,0,0.146402789,0,0.57820282,0
,1/5/2021 16:00,0,0,0,0,0,0,0,0,0,0.037041669,0,0,0
,1/5/2021 17:00,0,0,0,0,0,0,0,0,0,0.038099993,0.002116666,0.273402786,0
,1/5/2021 18:00,0,0,0,0,0,0,0,0.021166663,0.01975556,0.029162961,0.014816664,0.11077223,0.038100004
,1/5/2021 19:00,0,0,0,0,0,0,0,0,0,0.020225931,0,0.209902784,0
,1/7/2021 20:00,0,0,0,0,0,0,0,0,0,0.030691661,0,0.601838914,0
,1/7/2021 21:00,0,0,0,0,0,0,0,0,0,0.049741658,0,0.069850007,0
,1/9/2021 7:00,0,0,0,0,0,0,0,0.05468055,0.083961114,0,0.008819444,0,0.089958344
,1/9/2021 8:00,0,0,0,0,0,0,0,0.182386116,0.16439445,0.087488885,0.137936123,0,0.206375013
,1/9/2021 10:00,0,0,0,0,0,0,0,0,0,0.001058333,0,0,0
,1/9/2021 11:00,0,0,0,0,0,0,0,0.084666662,0.054680559,0.141816674,0,0.619125031,0.138641691
,1/9/2021 12:00,0,0,0,0,0,0,0,0.304800002,0.186972241,0.261408371,0.025399998,1.091847283,0.158044452
,1/9/2021 13:00,0,0,0,0,0,0,0,0.344311116,0.245533365,0.387350016,0.184855569,1.138766679,0.192969462
,1/9/2021 14:00,0,0,0,0,0,0,0,0.192616691,0.144991665,0.280458339,0,1.038225055,0.145344462
,1/9/2021 15:00,0,0,0,0,0,0,0,0.323497231,0.176388923,0.324908344,0.079022234,0.920397246,0.10865555
,1/9/2021 16:00,0,0,0,0,0,0,0,0.145697227,0.175683345,0.26599446,0,1.161344513,0.073730567
,1/9/2021 17:00,0,0,0,0,0,0,0,0.343252802,0.207433374,0.215547244,0,1.114072246,0.177800009
,1/9/2021 18:00,0,0,0,0,0,0,0,0.299861122,0.203552797,0.311502777,0,0.834319491,0.147813904
,1/9/2021 19:00,0,0,0,0,0,0,0,0.295980573,0.232127808,0.26634722,0,0.850547295,0.201083356
,1/9/2021 20:00,0,0,0,0,0,0,0,0.369005562,0.242358342,0.254352808,0,0.928158394,0.157338894
,1/9/2021 21:00,0,0,0,0,0,0,0,0.036688889,0,0.227188908,0,0.760941691,0
,1/9/2021 22:00,0,0,0,0,0,0,0,0,0,0.00458611,0,0,0
,1/9/2021 23:00,0,0,0,0,0,0,0,0.023988895,0,0.016580553,0,0,0
,1/10/2021 0:00,0,0,0,0,0,0,0,0.004233334,0,0,0,0,0
,1/13/2021 18:00,0,0,0,0,0,0,0,0,0,0,0,0.107950003,0
,1/13/2021 19:00,0,0,0,0,0,0,0,0.008466665,0,0,0,0.165805561,0.008466665
,1/13/2021 20:00,0,0,0,0,0,0,0,0.180622223,0.122766688,0.21590003,0.130175021,0.506588916,0.097013898
,1/13/2021 21:00,0,0,0,0,0,0,0,0.203200013,0.183444459,0.207433352,0.372180567,0.410633327,0.179563909
,1/13/2021 22:00,0,0,0,0,0,0,0,0,0,0,0,0.513291697,0
,1/13/2021 23:00,0,0,0,0,0,0,0,0.084666663,0.038099993,0.079022233,0.028222226,0.389819479,0.051858331
,1/14/2021 0:00,0,0,0,0,0,0,0,0.016933334,0.029633328,0.033866661,0.012699998,0,0.065263889
,1/14/2021 1:00,0,0,0,0,0,0,0,0,0.011288892,0.066322216,0.021166663,0,0
,1/16/2021 2:00,0,0,0,0,0,0,0,0,0,0,0,0.15381114,0
,1/16/2021 3:00,0,0,0,0,0,0,0,0,0,0.070555555,0.008466665,0.349955588,0
,1/16/2021 4:00,0,0,0,0,0,0,0,0.022577774,0.019402777,0.083255572,0.045155564,0.570088902,0.021166663
,1/16/2021 5:00,0,0,0,0,0,0,0,0.002822222,0.014463888,0.042333335,0.019755559,0.30621113,0.002822223
,1/16/2021 6:00,0,0,0,0,0,0,0,0,0,0.01693333,0,0.245533333,0
,1/16/2021 7:00,0,0,0,0,0,0,0,0,0,0,0,0.019755554,0
,1/17/2021 4:00,0,0,0,0,0,0,0,0,0,0.00458611,0,0.211666667,0
,1/17/2021 5:00,0,0,0,0,0,0,0,0,0,0.075847209,0,0.232833347,0
